0,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,全国合計
2020-09-08,1597,3526,20544,12406,9909,8822,5541,4688,3242,1250,71525
2020-09-15,1753,3741,21334,13120,10496,9310,5834,4924,3405,1308,75225
2020-09-22,1856,3971,22058,13658,11004,9733,6075,5155,3557,1355,78422
2020-09-29,1960,4162,22770,14202,11516,10168,6347,5378,3680,1401,81584
2020-10-06,2058,4365,23623,14760,12021,10615,6646,5608,3817,1436,84949
2020-10-13,2152,4607,24521,15363,12582,11093,6926,5847,3930,1471,88492
2020-10-20,2232,4885,25336,16002,13182,11595,7237,6087,4090,1523,92169
2020-10-27,2317,5089,26416,16647,13811,12166,7615,6387,4281,1589,96318
2020-11-03,2417,5379,27586,17517,14595,12870,8040,6668,4518,1680,101270
2020-11-10,2536,5867,29227,18653,15651,13804,8620,7141,4868,1823,108190
2020-11-17,2717,6549,31430,20229,17191,15253,9502,7856,5354,2006,118087
2020-11-24,2922,7218,33900,21908,19055,17020,10667,8745,5877,2191,129503
2020-12-01,3203,8050,36400,23629,20848,18754,11810,9756,6574,2465,141489
2020-12-08,3516,8870,38846,25349,22715,20407,13002,10807,7299,2756,153567
2020-12-15,3865,10128,41777,27535,24900,22425,14312,11949,8069,3101,168061
2020-12-22,4590,12026,47222,31508,28957,26350,16878,14413,9895,3729,195568
2020-12-28,5075,13183,51199,34430,31896,28930,18617,16045,11075,4111,214561
2021-01-05,5734,14911,57688,38885,36201,32801,21061,18144,12508,4628,242561
2021-01-12,6952,18060,68611,45879,42397,38586,24428,20915,14327,5368,285523
2021-01-19,8346,21190,77565,51920,48355,44275,27986,24070,16554,6222,326483
2021-01-26,9466,23677,83158,55940,52786,48487,30947,26889,18905,7293,357548
2021-02-02,10253,25157,86694,58611,55735,51341,32963,28982,20860,8119,378715
2021-02-09,11077,26490,89331,60687,57878,53303,34511,30632,22344,8786,395039
2021-02-16,11474,27119,91167,62127,59329,54693,35516,31672,23390,9222,405709
2021-02-23,11735,27611,92537,63251,60361,55710,36284,32515,24187,9534,413725
2021-03-02,12038,27965,93726,64162,61266,56509,36913,33294,24844,9836,420553
2021-03-09,12298,28374,95000,65174,62291,57439,37641,34117,25512,10049,427895
2021-03-16,12596,28872,96597,66279,63384,58421,38322,34905,26154,10291,435821
2021-03-23,12943,29607,98590,67552,64609,59598,39148,35762,26764,10500,445073
2021-03-30,13387,30585,101532,69302,66434,61237,40289,36828,27439,10757,457790
2021-04-06,13934,31896,105886,71817,68764,63349,41553,37886,28097,10979,474161
2021-04-13,14632,33645,111160,74975,71993,66254,43110,39329,29010,11271,495379
2021-04-20,15713,36040,117347,79075,76203,69954,45353,41092,30207,11696,522680
2021-04-27,16930,38880,124287,83721,81137,74278,47964,43317,31646,12223,554383
2021-05-04,18306,41842,131585,88973,86501,78698,50756,45567,33054,12732,588014
2021-05-11,19684,45085,140269,94515,92115,83644,53891,48144,34754,13375,625476
2021-05-18,21308,48817,149672,100276,97682,88483,56924,50657,36241,14005,664065
2021-05-25,22772,51773,156883,104990,102497,92618,59668,52915,37773,14605,696494
2021-06-01,23963,54077,162160,108843,106293,95678,61792,54673,39030,15072,721581
2021-06-08,24869,55625,166086,111679,109142,98010,63397,55937,39947,15434,740126
2021-06-15,25491,56878,169327,113768,111219,99863,64533,56862,40577,15670,754188
2021-06-22,25995,57969,172176,115455,112984,101376,65414,57478,40955,15829,765631
2021-06-29,26538,59245,175102,117304,114810,102832,66192,57934,41219,15936,777112
2021-07-06,27033,60262,178410,119564,116784,104483,66929,58329,41467,16034,789295
2021-07-13,27742,61755,182828,122345,119425,106588,67785,58808,41697,16105,805078
2021-07-20,28822,64119,189715,126534,123357,109589,68857,59279,41945,16182,828399
2021-07-27,30429,68031,200693,133347,129247,114054,70318,59820,42247,16276,864462
2021-08-03,33894,76123,224431,147480,140955,122629,73034,60930,42845,16463,938784
2021-08-10,39300,86924,251654,164679,156448,134063,76643,62288,43682,16762,1032443
2021-08-17,47007,102091,285830,186892,177287,149227,81594,64387,44936,17209,1156460
2021-08-24,57085,122316,329803,212857,201208,165884,87069,67292,46664,17733,1307911
2021-08-31,68395,141197,364662,236170,223371,181303,92145,70228,48345,18291,1444107
2021-09-07,77606,154495,388137,253290,239446,192472,96119,72665,49842,18729,1542801
2021-09-14,83505,162200,401703,263602,249371,199284,98757,74460,50961,19087,1602930
2021-09-21,87139,166779,409491,269542,254968,203015,100351,75563,51722,19339,1637909
2021-09-28,89391,169546,414421,273331,258418,205412,101419,76325,52310,19538,1660111
2021-10-05,90607,170904,417047,275208,260177,206697,102046,76766,52620,19653,1671725
2021-10-12,91469,171869,418997,276673,261575,207627,102551,77149,52885,19763,1680558
2021-10-19,92199,172732,420561,277849,262612,208411,102930,77455,53099,19839,1687687
2021-10-26,92607,173245,421604,278594,263293,208989,103196,77679,53232,19894,1692333
2021-11-02,93016,173772,422560,279332,263939,209493,103482,77880,53372,19938,1696784
2021-11-09,93251,173951,423062,279677,264237,209741,103633,77982,53452,19963,1698949
2021-11-16,93426,174102,423443,279991,264487,209964,103751,78086,53537,20014,1700801
2021-11-23,93538,174172,423643,280183,264624,210106,103856,78167,53621,20058,1701968
2021-11-30,93606,174212,423901,280395,264759,210293,103929,78251,53660,20074,1703080
2021-12-07,93693,174248,424165,280581,264939,210426,104017,78303,53707,20094,1704173
2021-12-14,93795,174318,424322,280696,265053,210518,104072,78346,53754,20113,1704987
2021-12-21,93896,174376,424603,280893,265237,210653,104156,78409,53798,20139,1706160
2021-12-28,94046,174469,424964,281203,265446,210861,104272,78502,53922,20204,1707889
2022-01-04,94397,174764,426048,281953,266012,211266,104478,78654,54030,20255,1711857
2022-01-11,96638,179526,441695,288150,270526,214792,106120,79740,54757,20520,1752464
2022-01-18,109625,205999,493239,310701,290451,228758,112656,83855,57122,21445,1913851
2022-01-25,152107,260516,571205,363543,338843,260363,128653,94677,63660,24193,2257760
2022-02-01,223594,335585,663541,443498,415849,308678,155448,114110,75899,29352,2765554
2022-02-08,307329,415193,751825,532424,503697,363727,188355,139379,92765,36378,3331072
2022-02-15,389157,490197,826471,614412,586680,415851,220243,164248,111116,44887,3863262
2022-02-22,473667,563945,895518,692296,665859,464790,250605,187737,129376,53548,4377341
2022-03-01,549150,625121,948770,756642,730062,502975,273541,204601,142902,60060,4793824
2022-03-08,622881,686059,1001331,816899,789942,539186,293925,219014,153902,65322,5188461
2022-03-15,696051,744844,1048964,873237,845254,570589,310438,230028,162124,69314,5550843
2022-03-22,748774,790952,1088863,917165,888130,593974,321839,237204,167409,71723,5826033
2022-03-29,805677,845717,1139164,965767,936589,619751,333236,244212,172102,73896,6136111
2022-04-05,854881,896208,1194074,1014453,984061,645754,344145,250928,176642,75909,6437055
2022-04-12,908237,947261,1250439,1068056,1033873,674362,356852,258936,181852,78267,6758135
2022-04-19,959662,995526,1296801,1116597,1077093,698601,368605,266332,186637,80462,7046316
2022-04-26,1011605,1046592,1335665,1161141,1117370,719579,379063,273079,191420,82820,7318334
2022-05-03,1050090,1086733,1366308,1196886,1150322,736524,387727,278905,195381,84670,7533546
2022-05-10,1080632,1127148,1408208,1232688,1182150,753549,396773,284965,199498,86652,7752263
2022-05-17,1121043,1171706,1455679,1270641,1216198,773675,407413,292154,204422,89057,8001988
2022-05-24,1164632,1210276,1490435,1308375,1248762,791240,417378,299002,209187,91468,8230755
2022-05-31,1197562,1238330,1514563,1337576,1274912,805051,425914,304938,213142,93462,8405450
2022-06-07,1222581,1260332,1533798,1360029,1295154,815957,432658,309953,216498,95120,8542080
2022-06-14,1245086,1280354,1549766,1379137,1312510,825341,438511,314074,219324,96609,8660712
2022-06-21,1267355,1299121,1565354,1397773,1329521,834754,444286,318286,221980,97953,8776383
2022-06-28,1290109,1319952,1583624,1418121,1348380,845945,450737,322778,224880,99276,8903802
2022-07-05,1319299,1348188,1611415,1446560,1375015,862812,460408,329034,228558,100941,9082230
2022-07-12,1376948,1408351,1669733,1502705,1429271,898534,480120,342325,235971,103977,9447935
2022-07-19,1462487,1512329,1765815,1594098,1520239,961080,514922,366589,249490,109591,10056640
2022-07-26,1621125,1707973,1961814,1780446,1714200,1093354,587895,415901,277851,121057,11281616
2022-08-02,1786806,1882722,2166543,1988774,1934171,1251235,677543,478682,315689,137108,12619273
2022-08-09,1956183,2042250,2373207,2204964,2160651,1420934,779236,550865,361463,156947,14006700
2022-08-16,2100100,2181934,2551069,2394319,2356386,1569406,868732,615052,404494,176808,15218300
2022-08-23,2267548,2358120,2792322,2619567,2593207,1756518,983835,697907,455758,198799,16723581
2022-08-30,2419220,2494794,2959648,2794734,2776855,1899925,1072735,763349,497519,217353,17896132
2022-09-06,2550492,2600434,3067925,2926149,2910579,1997348,1134264,809743,527904,230253,18755091
2022-09-13,2650906,2687720,3140209,3020430,3006421,2064502,1175215,840821,548922,239664,19374810
