date,severe_all
2020-03-01,23
2020-03-02,24
2020-03-03,24
2020-03-04,27
2020-03-05,30
2020-03-06,28
2020-03-07,33
2020-03-08,33
2020-03-09,31
2020-03-10,26
2020-03-11,29
2020-03-12,32
2020-03-13,35
2020-03-14,36
2020-03-15,41
2020-03-16,46
2020-03-17,46
2020-03-18,49
2020-03-19,50
2020-03-20,55
2020-03-21,57
2020-03-22,54
2020-03-23,55
2020-03-24,57
2020-03-25,56
2020-03-26,57
2020-03-27,60
2020-03-28,59
2020-03-29,59
2020-03-30,59
2020-03-31,60
2020-04-01,62
2020-04-02,64
2020-04-03,69
2020-04-04,70
2020-04-05,79
2020-04-06,80
2020-04-07,99
2020-04-08,109
2020-04-09,117
2020-04-10,122
2020-04-11,129
2020-04-12,135
2020-04-13,152
2020-04-14,168
2020-04-15,193
2020-04-16,207
2020-04-17,211
2020-04-18,217
2020-04-19,231
2020-04-20,232
2020-04-21,241
2020-04-22,259
2020-04-23,263
2020-04-24,287
2020-04-25,296
2020-04-26,300
2020-04-27,305
2020-04-28,306
2020-04-29,308
2020-04-30,328
2020-05-01,324
2020-05-02,321
2020-05-03,308
2020-05-04,309
2020-05-05,308
2020-05-06,300
2020-05-07,287
2020-05-08,266