,2022-01-12
北海道,39580
青森県,10839
岩手県,10677
宮城県,18340
秋田県,5574
山形県,9452
福島県,21427
茨城県,25713
栃木県,17243
群馬県,19340
埼玉県,49261
千葉県,49260
東京都,92937
神奈川県,48932
新潟県,14537
富山県,11574
石川県,10475
福井県,6200
山梨県,6600
長野県,14467
岐阜県,20415
静岡県,27126
愛知県,55545
三重県,15407
滋賀県,10823
京都府,21984
大阪府,51385
兵庫県,45729
奈良県,6552
和歌山県,9534
鳥取県,6052
島根県,5879
岡山県,26408
広島県,27863
山口県,43481
徳島県,8367
香川県,7507
愛媛県,8850
高知県,11375
福岡県,33254
佐賀県,10980
長崎県,13333
熊本県,22051
大分県,16042
宮崎県,12033
鹿児島県,16961
沖縄県,18601
全国,1035965