date,全国,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,その他
2020-03-18,172,69,0,0,1,1,0,0,0,2,0,4,9,23,6,1,0,1,0,0,0,1,1,3,1,0,6,22,0,2,8,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,2,0
2020-03-19,181,69,0,0,1,1,0,0,0,2,0,4,9,24,6,1,0,2,0,0,0,1,1,3,1,0,6,22,1,2,8,0,0,0,0,0,0,0,1,11,2,0,0,0,1,0,0,2,0
2020-03-20,186,69,0,0,1,1,0,0,0,1,0,6,12,24,6,1,0,2,0,0,1,1,1,3,1,0,6,22,1,2,8,0,0,0,0,0,0,0,1,11,2,0,0,0,1,0,0,2,0
2020-03-21,223,81,0,0,1,1,0,0,0,1,0,7,14,25,12,2,0,3,0,0,1,1,1,8,1,0,7,26,2,2,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-22,235,83,0,0,1,1,0,0,0,2,0,10,15,25,14,3,0,3,0,1,1,1,1,8,2,0,7,26,2,2,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-23,250,90,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,1,1,1,8,2,1,7,27,2,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-24,259,93,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,2,1,1,9,2,1,7,27,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,1,0,2,0
2020-03-25,260,93,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,2,1,2,9,2,1,7,27,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,1,0,2,0
2020-03-26,308,98,0,0,1,1,0,0,0,2,0,12,17,27,17,3,0,3,0,1,2,1,2,36,2,1,8,37,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-27,319,98,0,0,1,1,0,0,0,2,0,13,18,28,18,3,0,3,0,2,2,1,2,36,2,1,8,41,5,3,10,0,0,0,1,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-28,349,114,0,0,1,1,0,0,0,2,0,13,18,29,18,7,0,3,0,2,2,1,2,42,2,1,11,41,5,3,10,0,0,0,1,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-29,408,121,0,0,1,2,0,0,0,2,0,15,19,36,20,7,0,5,0,2,3,1,2,42,2,1,13,48,18,8,13,0,0,0,1,2,1,0,2,12,2,0,0,3,1,1,0,2,0
2020-03-30,408,121,0,0,1,2,0,0,0,2,0,15,19,36,20,7,0,5,0,2,3,1,2,42,2,1,13,48,18,8,13,0,0,0,1,2,1,0,2,12,2,0,0,3,1,1,0,2,0
2020-03-31,456,124,0,0,1,2,0,0,0,2,0,15,19,37,27,10,0,5,0,2,3,2,3,47,2,2,15,70,18,8,13,0,0,0,1,3,1,0,2,12,2,0,1,3,1,1,0,2,0
2020-04-01,489,131,0,0,1,2,0,1,0,2,0,20,23,47,28,10,0,5,0,2,3,2,3,47,2,3,16,70,18,8,13,0,0,0,1,3,1,0,2,12,5,0,1,3,1,1,0,2,0
2020-04-02,498,131,0,0,1,2,0,1,0,2,0,21,26,48,28,10,0,5,0,2,3,2,3,47,2,3,18,71,18,8,14,0,0,0,1,3,1,0,2,12,5,0,1,3,1,1,0,2,0
2020-04-03,559,130,0,0,1,2,0,1,1,3,0,23,31,48,32,11,0,5,0,2,4,2,3,48,4,3,18,73,51,8,15,0,0,0,1,3,1,0,3,12,5,0,2,3,6,2,0,2,0
2020-04-04,568,130,0,0,1,2,0,1,1,3,1,23,31,48,32,11,0,5,0,2,4,2,3,48,4,3,18,80,52,8,15,0,0,0,1,3,1,0,3,12,5,0,2,3,6,2,0,2,0
2020-04-05,575,130,0,0,1,2,0,1,1,3,1,23,32,50,32,11,0,5,0,2,4,2,3,48,4,3,18,82,52,8,15,0,0,0,1,3,1,0,3,12,6,1,2,3,6,2,0,2,0
2020-04-06,605,141,0,0,1,2,0,1,1,3,1,23,32,58,32,11,0,5,1,2,4,2,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,6,1,2,3,8,3,0,2,0
2020-04-07,615,143,0,0,1,2,0,1,1,3,1,23,32,58,35,15,0,5,1,2,3,3,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,7,1,2,3,8,3,0,2,0
2020-04-08,615,143,0,0,1,2,0,1,1,3,1,23,32,58,35,15,0,5,1,2,3,3,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,7,1,2,3,8,3,0,2,0
2020-04-09,697,145,0,0,1,2,0,2,4,5,4,25,35,57,37,17,0,5,3,2,3,5,3,53,5,3,29,118,58,8,15,0,0,0,3,3,1,0,4,12,7,1,2,4,10,3,0,3,0
2020-04-10,745,148,3,0,1,5,0,3,7,5,5,25,37,57,44,24,0,5,6,2,3,5,3,63,5,3,29,121,59,8,15,0,0,1,3,3,1,0,4,12,7,1,2,4,10,3,0,3,0
2020-04-11,767,158,3,0,1,5,0,3,8,5,5,25,38,57,44,24,0,5,6,2,3,5,3,63,5,3,33,121,59,8,17,0,0,1,3,3,3,1,4,13,7,1,2,4,10,3,0,3,0
2020-04-12,782,158,3,0,2,5,0,3,9,5,5,26,39,57,44,24,0,5,6,2,3,5,3,63,9,3,33,127,59,8,17,0,0,1,3,3,3,1,4,14,7,1,2,4,10,3,0,3,0
2020-04-13,836,161,4,0,5,5,0,3,10,7,5,26,39,57,55,25,1,5,7,2,4,5,3,63,11,5,33,147,59,8,17,0,0,1,3,5,3,1,4,16,7,1,2,5,10,3,0,3,0
2020-04-14,884,161,5,0,5,5,0,3,10,7,5,27,45,59,55,25,1,5,8,2,4,6,3,63,11,5,34,152,61,8,17,0,0,1,3,5,3,1,4,16,32,1,2,5,13,3,0,3,0
2020-04-15,918,161,5,0,6,5,0,3,10,7,5,28,45,59,55,25,1,5,8,2,4,12,3,66,11,5,37,155,61,9,19,0,0,1,3,5,3,1,4,16,45,1,2,5,13,4,0,3,0
2020-04-16,995,163,5,0,8,5,0,3,10,8,5,32,51,59,55,29,2,5,8,9,4,16,5,66,11,8,39,175,63,9,19,0,0,1,3,5,3,1,4,18,52,1,2,5,17,4,1,6,0
2020-04-17,1052,171,5,0,8,5,0,3,11,8,5,32,54,59,54,29,2,5,8,9,4,16,5,66,11,10,53,182,63,12,19,0,0,1,8,5,3,1,4,18,66,1,2,6,17,4,1,6,0
2020-04-18,1142,171,6,0,8,5,10,3,14,8,5,32,67,59,68,29,2,5,8,9,4,16,8,66,11,10,53,220,65,12,19,0,0,3,11,5,3,1,5,18,66,1,2,6,17,4,1,6,0
2020-04-19,1460,171,6,0,8,5,10,3,16,8,14,32,71,297,73,29,4,5,23,9,4,16,8,66,11,10,70,233,65,14,20,0,0,3,11,11,3,1,8,18,66,1,2,6,18,4,1,6,0
2020-04-20,1880,171,9,0,8,5,15,14,16,8,14,32,77,600,88,29,8,14,26,9,6,24,8,66,11,13,77,233,65,14,20,0,0,4,12,15,3,1,9,22,87,1,4,7,19,4,1,11,0
2020-04-21,1948,179,10,0,14,5,17,15,17,8,14,32,80,600,91,32,8,17,26,9,6,24,12,66,11,13,86,253,65,14,22,0,0,4,12,15,3,1,9,22,87,1,5,7,19,4,2,11,0
2020-04-22,2315,188,10,0,14,5,17,15,18,8,14,34,80,897,111,33,8,17,26,23,6,24,13,67,11,13,88,255,65,14,22,0,0,4,13,15,3,2,16,28,88,2,5,7,19,4,2,11,0
2020-04-23,2417,195,14,0,23,7,17,17,21,8,14,34,82,937,114,33,8,17,26,22,8,24,13,67,11,13,93,255,67,14,23,0,2,5,14,15,3,4,16,28,92,2,5,8,26,7,2,11,0
2020-04-24,2526,196,14,0,29,7,17,19,24,13,14,34,95,952,123,33,9,16,34,22,8,24,13,66,11,13,93,246,68,14,23,0,2,5,14,16,3,4,20,28,136,6,6,9,26,7,3,11,0
2020-04-25,2645,201,14,0,31,7,32,19,24,13,14,34,97,970,120,33,9,16,33,22,8,36,13,66,16,22,137,246,72,14,24,1,2,5,14,18,3,5,20,28,138,6,6,9,26,7,3,11,0
2020-04-26,2739,202,14,0,31,7,32,19,24,13,15,36,97,994,120,32,9,16,33,22,17,57,13,66,16,22,142,252,77,14,27,1,2,5,15,18,3,5,24,28,148,6,6,11,26,8,3,11,0
2020-04-27,3017,202,14,0,32,7,38,19,31,13,15,42,98,1173,122,32,9,16,63,22,17,57,13,66,16,22,140,260,85,14,27,1,2,5,16,18,3,5,24,28,161,6,8,12,27,9,4,23,0
2020-04-28,3193,202,14,0,32,7,38,19,31,13,15,42,101,1261,150,32,9,22,63,23,17,65,24,66,16,22,140,274,80,14,27,1,2,5,20,23,3,6,24,28,170,6,9,12,27,10,4,24,0
2020-04-29,3268,209,14,0,32,7,38,19,33,13,15,49,102,1271,150,32,9,22,64,24,17,65,24,67,19,35,156,281,81,14,28,1,3,5,20,24,3,7,24,28,170,6,9,12,28,10,4,24,0
2020-04-30,3755,209,14,0,32,7,38,19,35,16,15,49,103,1424,168,32,9,22,69,24,17,65,24,75,19,35,159,551,81,14,28,1,7,10,29,24,3,7,25,28,170,7,9,13,30,11,4,24,0
2020-05-01,3970,248,14,0,50,13,48,19,35,16,15,52,105,1518,172,32,9,23,69,29,17,70,24,75,19,35,159,555,83,14,28,1,7,10,29,24,3,7,25,49,170,7,9,13,31,11,4,24,0
2020-05-02,4117,248,14,0,61,13,50,19,38,16,15,52,105,1550,177,32,38,23,75,29,23,79,24,75,19,35,168,557,86,38,31,1,7,10,29,24,3,7,27,49,171,7,9,13,31,11,4,24,0
2020-05-03,4225,248,14,0,61,13,53,19,45,16,36,54,105,1567,184,32,37,23,75,29,23,79,24,75,19,35,176,575,90,38,35,1,7,10,35,24,3,9,31,49,173,9,10,13,32,11,4,24,0
2020-05-04,4320,254,14,0,61,13,54,19,61,22,36,54,111,1612,185,32,37,23,78,29,28,81,24,75,19,35,176,576,90,38,35,1,7,10,35,24,3,11,31,49,173,10,10,13,32,11,4,24,0
2020-05-05,4616,286,15,0,65,13,54,34,69,25,36,60,136,1612,185,32,37,23,78,29,28,95,24,75,20,36,185,627,96,38,38,1,9,10,37,24,3,11,32,49,284,10,10,13,33,11,4,24,0
2020-05-06,4818,286,15,0,69,13,54,34,71,25,47,62,179,1619,188,32,37,46,84,29,32,106,42,99,29,36,206,629,99,38,43,1,9,10,37,24,3,11,32,49,284,10,10,16,33,11,5,24,0
2020-05-07,5553,302,15,0,72,14,54,34,73,25,47,73,253,1932,188,32,38,46,84,29,34,106,42,324,29,52,212,674,100,52,44,1,10,11,38,24,3,12,32,49,284,10,10,16,33,11,5,24,0
2020-05-08,8124,394,17,0,75,14,56,43,78,25,55,514,423,2136,645,46,77,127,89,48,37,114,46,328,30,60,227,978,454,62,46,1,10,15,61,33,3,13,38,61,443,20,14,17,51,11,7,82,0